Город,Общий стаж работы по специальности,Стаж на текущем месте работы,Специализация,Зарплата за последний месяц,Прибавка к зарплате,Размер компании,Стаж,Стаж на текущем месте работы,ЗП,,,,,
другой,3,1,Flex/Flash/AIR,100,,меньше 10 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
Львов,4,3,PHP,100,400,меньше 10 человек,"(3, 7]","(1.5, 3]",≤ 600,,,,,
другой,6,4,Java,100,0,больше 200 человек,"(3, 7]",> 3,≤ 600,,,,,
другой,1,0.5,PHP,173.75,250,меньше 10 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,6,3,C#/.NET,190,200,10 - 50 человек,"(3, 7]","(1.5, 3]",≤ 600,,,,,
Харьков,0.25,0.25,Java,200,300,50 - 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,3,0.5,Java,200,100,меньше 10 человек,"(1, 3]",≤ 0.5,≤ 600,,,,,
Киев,3,2,Java,200,150,10 - 50 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
другой,5,2,Project manager,200,0,10 - 50 человек,"(3, 7]","(1.5, 3]",≤ 600,,,,,
Львов,1,0.3,PHP,220,400,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,0,0,C#/.NET,250,250,50 - 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Киев,0.8,0.1,PHP,250,375,меньше 10 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,0.5,0.5,PHP,250,250,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,1,1,Python,250,250,больше 200 человек,≤ 1,"(0.5, 1.5]",≤ 600,,,,,
другой,3,2,HTML/CSS/JavaScript,250,250,меньше 10 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
Харьков,3,3,PHP,260,100,больше 200 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
другой,0,0.1,Java,300,,50 - 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Киев,1,0.2,Java,300,200,50 - 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Львов,0.25,0.25,Java,300,300,больше 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Харьков,0.3,0.3,Mobile,300,200,50 - 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Киев,1,0.4,C#/.NET,300,,больше 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,0.5,0.5,C#/.NET,300,300,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Харьков,0.5,0.5,QA/Testing,300,300,50 - 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,0.5,0.5,Java,300,100,меньше 10 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,2,0.7,Java,300,250,меньше 10 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
Львов,3,3,QA/Testing,300,100,больше 200 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
Киев,10,3,C#/.NET,300,50,50 - 200 человек,> 7,"(1.5, 3]",≤ 600,,,,,
другой,3,2,PHP,310,150,меньше 10 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
другой,2,2,Oracle,325,500,больше 200 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
Харьков,0.25,0.25,Ruby/Rails,350,350,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Харьков,2.5,0.4,C#/.NET,350,150,10 - 50 человек,"(1, 3]",≤ 0.5,≤ 600,,,,,
Харьков,0.5,0.5,QA/Testing,350,150,50 - 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Харьков,2,2,Oracle,350,120,меньше 10 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
другой,3,3,Python,350,200,меньше 10 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
другой,3.5,3.5,Python,350,200,меньше 10 человек,"(3, 7]",> 3,≤ 600,,,,,
другой,2,2,C#/.NET,370,100,больше 200 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
другой,0.5,0.25,Java,375,300,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Киев,0.6,0.6,PHP,375,250,меньше 10 человек,≤ 1,"(0.5, 1.5]",≤ 600,,,,,
Киев,1.5,1.5,QA/Testing,375,125,10 - 50 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
другой,3.5,0.1,QA/Testing,400,300,меньше 10 человек,"(3, 7]",≤ 0.5,≤ 600,,,,,
другой,1,0.25,C#/.NET,400,300,50 - 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,1,0.25,C++,400,400,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Киев,0.3,0.3,Java,400,300,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,1,0.3,C#/.NET,400,100,меньше 10 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Львов,1,1,QA/Testing,400,150,больше 200 человек,≤ 1,"(0.5, 1.5]",≤ 600,,,,,
другой,2,1,C#/.NET,400,200,10 - 50 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
Киев,3,1,Python,400,400,10 - 50 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
другой,7,1,Flex/Flash/AIR,400,250,50 - 200 человек,> 7,"(0.5, 1.5]",≤ 600,,,,,
другой,2,1.5,PHP,400,200,меньше 10 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
другой,3,2,Oracle,400,400,50 - 200 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
Харьков,3,3,Oracle,400,625,больше 200 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
другой,8,4,HTML/CSS/JavaScript,400,100,10 - 50 человек,> 7,> 3,≤ 600,,,,,
Киев,1,0.3,Embedded,412.5,400,больше 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,1,1,PHP,425,250,меньше 10 человек,≤ 1,"(0.5, 1.5]",≤ 600,,,,,
Киев,1,0.25,HTML/CSS/JavaScript,437.5,250,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,4,2,Project manager,437.5,250,10 - 50 человек,"(3, 7]","(1.5, 3]",≤ 600,,,,,
Киев,1,1,PHP,440,200,меньше 10 человек,≤ 1,"(0.5, 1.5]",≤ 600,,,,,
другой,5,5,C++,440,100,10 - 50 человек,"(3, 7]",> 3,≤ 600,,,,,
Харьков,0.75,0.75,Java,450,200,больше 200 человек,≤ 1,"(0.5, 1.5]",≤ 600,,,,,
Харьков,3,1,Ruby/Rails,450,400,больше 200 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
другой,2,2,Java,450,350,10 - 50 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
другой,7,3,QA/Testing,450,500,больше 200 человек,> 7,"(1.5, 3]",≤ 600,,,,,
другой,6,7,C++,450,500,10 - 50 человек,"(3, 7]",> 3,≤ 600,,,,,
Харьков,0,0,PHP,500,300,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Киев,0.9,0.02,Objective-C,500,500,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,2,0.2,PHP,500,300,меньше 10 человек,"(1, 3]",≤ 0.5,≤ 600,,,,,
Киев,1,0.4,Java,500,,меньше 10 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Киев,0.5,0.5,QA/Testing,500,,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,3,0.5,PHP,500,0,10 - 50 человек,"(1, 3]",≤ 0.5,≤ 600,,,,,
другой,6,0.5,HTML/CSS/JavaScript,500,200,меньше 10 человек,"(3, 7]",≤ 0.5,≤ 600,,,,,
Киев,1,1,HTML/CSS/JavaScript,500,200,10 - 50 человек,≤ 1,"(0.5, 1.5]",≤ 600,,,,,
Харьков,1,1,QA/Testing,500,500,10 - 50 человек,≤ 1,"(0.5, 1.5]",≤ 600,,,,,
другой,1,1,PHP,500,500,10 - 50 человек,≤ 1,"(0.5, 1.5]",≤ 600,,,,,
Львов,1.5,1,Java,500,300,больше 200 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
Киев,3,1,QA/Testing,500,100,больше 200 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
Харьков,5,1,C++,500,750,меньше 10 человек,"(3, 7]","(0.5, 1.5]",≤ 600,,,,,
Киев,5,1.3,PHP,500,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",≤ 600,,,,,
Харьков,1.5,1.5,Objective-C,500,300,10 - 50 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
Львов,10,2,C++,500,1000,10 - 50 человек,> 7,"(1.5, 3]",≤ 600,,,,,
Киев,12,2,C#/.NET,500,300,меньше 10 человек,> 7,"(1.5, 3]",≤ 600,,,,,
другой,3,3,PHP,500,187.5,меньше 10 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
другой,3,3,PHP,500,200,больше 200 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
Харьков,5,3,Flex/Flash/AIR,500,250,меньше 10 человек,"(3, 7]","(1.5, 3]",≤ 600,,,,,
другой,6,3,PHP,500,500,10 - 50 человек,"(3, 7]","(1.5, 3]",≤ 600,,,,,
Харьков,4,4,PHP,500,500,больше 200 человек,"(3, 7]",> 3,≤ 600,,,,,
Харьков,2,2,C#/.NET,530,500,больше 200 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
другой,3,0.8,PHP,550,400,50 - 200 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
другой,10,8,C#/.NET,550,800,меньше 10 человек,> 7,> 3,≤ 600,,,,,
другой,2,1,PHP,560,400,меньше 10 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
Киев,0.25,0.25,PHP,562.5,250,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Харьков,1,0.5,Java,580,300,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Харьков,0.5,0.25,C#/.NET,600,600,больше 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Киев,0.8,0.3,Java,600,400,больше 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,2.5,0.5,C#/.NET,600,200,меньше 10 человек,"(1, 3]",≤ 0.5,≤ 600,,,,,
Львов,1,1,Java,600,400,50 - 200 человек,≤ 1,"(0.5, 1.5]",≤ 600,,,,,
Харьков,1,1,PHP,600,200,меньше 10 человек,≤ 1,"(0.5, 1.5]",≤ 600,,,,,
другой,2,1,PHP,600,300,меньше 10 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
другой,3,1,C++,600,400,больше 200 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
Киев,3,1,C++,600,,меньше 10 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
другой,6,1,PHP,600,200,меньше 10 человек,"(3, 7]","(0.5, 1.5]",≤ 600,,,,,
другой,7,1,Flex/Flash/AIR,600,600,меньше 10 человек,> 7,"(0.5, 1.5]",≤ 600,,,,,
Киев,2,1.2,C#/.NET,600,400,больше 200 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
Харьков,2,2,PHP,600,200,меньше 10 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
другой,2,2,C#/.NET,600,500,больше 200 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
Харьков,2,2,Ruby/Rails,600,500,больше 200 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
Киев,3,2,PHP,600,200,10 - 50 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
Киев,5,2,PHP,600,187.5,меньше 10 человек,"(3, 7]","(1.5, 3]",≤ 600,,,,,
другой,5,2,Java,600,400,меньше 10 человек,"(3, 7]","(1.5, 3]",≤ 600,,,,,
другой,5,2,C++,600,250,меньше 10 человек,"(3, 7]","(1.5, 3]",≤ 600,,,,,
Харьков,2.5,2.5,Flex/Flash/AIR,600,100,больше 200 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
Киев,3,2.5,C#/.NET,600,300,50 - 200 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
другой,3,3,C++,600,600,10 - 50 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
другой,5,3,Gamedev,600,187.5,меньше 10 человек,"(3, 7]","(1.5, 3]",≤ 600,,,,,
Львов,5,3,Python,600,400,меньше 10 человек,"(3, 7]","(1.5, 3]",≤ 600,,,,,
другой,12,2,Oracle,607,600,больше 200 человек,> 7,"(1.5, 3]",600-1200,,,,,
Киев,0.4,0.4,C#/.NET,625,375,10 - 50 человек,≤ 1,≤ 0.5,600-1200,,,,,
другой,5,0.4,PHP,625,375,50 - 200 человек,"(3, 7]",≤ 0.5,600-1200,,,,,
Харьков,1,0.5,QA/Testing,625,180,50 - 200 человек,≤ 1,≤ 0.5,600-1200,,,,,
другой,5,0.6,PHP,625,625,меньше 10 человек,"(3, 7]","(0.5, 1.5]",600-1200,,,,,
Харьков,1.5,1,QA/Testing,625,187.5,50 - 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
другой,7.5,2.5,PHP,625,500,50 - 200 человек,> 7,"(1.5, 3]",600-1200,,,,,
Львов,5,3,C#/.NET,625,250,больше 200 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
другой,8,5,Project manager,625,0,больше 200 человек,> 7,> 3,600-1200,,,,,
другой,0.25,0.25,C#/.NET,630,250,больше 200 человек,≤ 1,≤ 0.5,600-1200,,,,,
другой,2,1,PHP,650,250,50 - 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,4,1,PHP,650,650,меньше 10 человек,"(3, 7]","(0.5, 1.5]",600-1200,,,,,
Львов,2,2,C++,650,350,10 - 50 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Харьков,2,2,C++,650,150,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Львов,4,3,Ruby/Rails,650,500,меньше 10 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
другой,16,4,C#/.NET,650,937.5,больше 200 человек,> 7,> 3,600-1200,,,,,
другой,5,2,PHP,670,150,меньше 10 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Киев,0.8,0.8,Flex/Flash/AIR,680,400,10 - 50 человек,≤ 1,"(0.5, 1.5]",600-1200,,,,,
Киев,3,1,Oracle,687.5,250,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,3,1.5,QA/Testing,687.5,125,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,0.4,0.1,Objective-C,700,250,10 - 50 человек,≤ 1,≤ 0.5,600-1200,,,,,
Харьков,1,0.3,PHP,700,200,меньше 10 человек,≤ 1,≤ 0.5,600-1200,,,,,
другой,4,0.3,PHP,700,600,10 - 50 человек,"(3, 7]",≤ 0.5,600-1200,,,,,
другой,2,0.4,HTML/CSS/JavaScript,700,800,10 - 50 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Харьков,3,0.5,PHP,700,200,50 - 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Киев,4,0.5,Java,700,700,больше 200 человек,"(3, 7]",≤ 0.5,600-1200,,,,,
Львов,2,0.8,Objective-C,700,300,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Харьков,2,0.8,C#/.NET,700,400,50 - 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,1,1,C#/.NET,700,700,10 - 50 человек,≤ 1,"(0.5, 1.5]",600-1200,,,,,
Киев,1,1,Java,700,400,50 - 200 человек,≤ 1,"(0.5, 1.5]",600-1200,,,,,
Киев,1,1,Java,700,500,больше 200 человек,≤ 1,"(0.5, 1.5]",600-1200,,,,,
Харьков,3,1,Mobile,700,350,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Харьков,1,2,Project manager,700,700,больше 200 человек,≤ 1,"(1.5, 3]",600-1200,,,,,
Львов,2,2,Java,700,700,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
другой,2,2,Flex/Flash/AIR,700,700,10 - 50 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Харьков,3.5,2.5,QA/Testing,700,200,50 - 200 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
другой,4,3,PHP,700,600,меньше 10 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
другой,4,3,PHP,700,600,меньше 10 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
другой,6,4,C++,700,300,больше 200 человек,"(3, 7]",> 3,600-1200,,,,,
Львов,5,5,Embedded,700,200,больше 200 человек,"(3, 7]",> 3,600-1200,,,,,
другой,11,8,HTML/CSS/JavaScript,700,100,меньше 10 человек,> 7,> 3,600-1200,,,,,
другой,4,4,Flex/Flash/AIR,710,300,больше 200 человек,"(3, 7]",> 3,600-1200,,,,,
Львов,2,2,C#/.NET,720,300,10 - 50 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Киев,1,0,Java,750,200,больше 200 человек,≤ 1,≤ 0.5,600-1200,,,,,
Киев,1,0.3,PHP,750,400,50 - 200 человек,≤ 1,≤ 0.5,600-1200,,,,,
Киев,5,0.4,PHP,750,150,10 - 50 человек,"(3, 7]",≤ 0.5,600-1200,,,,,
Львов,1.5,0.6,C#/.NET,750,400,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,1,0.7,PHP,750,250,меньше 10 человек,≤ 1,"(0.5, 1.5]",600-1200,,,,,
Киев,1.4,0.9,PHP,750,250,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,1,1,Java,750,,больше 200 человек,≤ 1,"(0.5, 1.5]",600-1200,,,,,
другой,1,1,Flex/Flash/AIR,750,50,10 - 50 человек,≤ 1,"(0.5, 1.5]",600-1200,,,,,
Харьков,5,1.5,QA/Testing,750,,больше 200 человек,"(3, 7]","(0.5, 1.5]",600-1200,,,,,
Харьков,2,2,Project manager,750,250,10 - 50 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Харьков,2,2,PHP,750,400,10 - 50 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
другой,8,2,PHP,750,250,10 - 50 человек,> 7,"(1.5, 3]",600-1200,,,,,
Киев,8,2.5,Java,750,,50 - 200 человек,> 7,"(1.5, 3]",600-1200,,,,,
Киев,4,3,PHP,750,250,10 - 50 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
другой,3,3,Python,780,500,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
другой,7,2,Ruby/Rails,787.5,187.5,меньше 10 человек,> 7,"(1.5, 3]",600-1200,,,,,
Киев,2,0,HTML/CSS/JavaScript,800,300,50 - 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Киев,0.5,0.2,Java,800,200,50 - 200 человек,≤ 1,≤ 0.5,600-1200,,,,,
Харьков,2,0.2,HTML/CSS/JavaScript,800,200,меньше 10 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Харьков,10,0.2,Java,800,500,10 - 50 человек,> 7,≤ 0.5,600-1200,,,,,
Киев,0.6,0.25,QA/Testing,800,300,больше 200 человек,≤ 1,≤ 0.5,600-1200,,,,,
Львов,3,0.25,Flex/Flash/AIR,800,400,10 - 50 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Киев,3,0.3,Gamedev,800,100,50 - 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Киев,0.5,0.5,C++,800,800,50 - 200 человек,≤ 1,≤ 0.5,600-1200,,,,,
Львов,1,0.5,PHP,800,300,10 - 50 человек,≤ 1,≤ 0.5,600-1200,,,,,
Харьков,3,0.7,PHP,800,400,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,2,0.8,Embedded,800,500,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,2,1,C#/.NET,800,700,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Харьков,2,1,Ruby/Rails,800,400,50 - 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
другой,3,1,PHP,800,400,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
другой,3,1,PHP,800,,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
другой,4,1,C++,800,200,50 - 200 человек,"(3, 7]","(0.5, 1.5]",600-1200,,,,,
другой,1.5,1.5,PHP,800,700,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
другой,2,1.5,Java,800,800,50 - 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,1,2,PHP,800,400,50 - 200 человек,≤ 1,"(1.5, 3]",600-1200,,,,,
другой,7,2,C++,800,400,10 - 50 человек,> 7,"(1.5, 3]",600-1200,,,,,
другой,7,2,Oracle,800,300,больше 200 человек,> 7,"(1.5, 3]",600-1200,,,,,
Харьков,2.5,2.5,C#/.NET,800,400,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Харьков,2.5,2.5,C#/.NET,800,200,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Львов,3,3,QA/Testing,800,200,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Львов,3,3,Embedded,800,400,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
другой,3,3,C++,800,800,50 - 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Львов,4,4,C#/.NET,800,400,10 - 50 человек,"(3, 7]",> 3,600-1200,,,,,
Харьков,4,4,C#/.NET,800,100,10 - 50 человек,"(3, 7]",> 3,600-1200,,,,,
Киев,1,1,PHP,812.5,200,меньше 10 человек,≤ 1,"(0.5, 1.5]",600-1200,,,,,
другой,2.5,2.5,Java,812.5,250,50 - 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
другой,1.5,1,Python,820,300,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Харьков,1,1,Java,845,845,50 - 200 человек,≤ 1,"(0.5, 1.5]",600-1200,,,,,
другой,4,0.75,QA/Testing,850,350,50 - 200 человек,"(3, 7]","(0.5, 1.5]",600-1200,,,,,
Киев,2.5,1.2,C#/.NET,850,400,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,1.5,1.5,C#/.NET,850,300,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Львов,2,2,C#/.NET,850,550,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Киев,4,2,PHP,850,650,50 - 200 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
другой,3,3,PHP,850,500,10 - 50 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Киев,1,0.5,C++,870,250,10 - 50 человек,≤ 1,≤ 0.5,600-1200,,,,,
Киев,3,2,C++,870,300,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Киев,1,0.5,C#/.NET,875,250,10 - 50 человек,≤ 1,≤ 0.5,600-1200,,,,,
Киев,9,1,PHP,875,375,меньше 10 человек,> 7,"(0.5, 1.5]",600-1200,,,,,
Киев,2.5,2,PHP,875,0,меньше 10 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
другой,11,6,C#/.NET,875,875,меньше 10 человек,> 7,> 3,600-1200,,,,,
Киев,2,0.5,QA/Testing,900,400,больше 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Киев,2,0.7,Java,900,300,больше 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Львов,3,0.7,C++,900,300,больше 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,10,0.9,PHP,900,400,10 - 50 человек,> 7,"(0.5, 1.5]",600-1200,,,,,
Львов,8,1,Mobile,900,100,10 - 50 человек,> 7,"(0.5, 1.5]",600-1200,,,,,
Киев,2,1.5,PHP,900,300,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
другой,2.5,2,C#/.NET,900,875,10 - 50 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Киев,4,2,C++,900,500,10 - 50 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Львов,8,2,Python,900,900,больше 200 человек,> 7,"(1.5, 3]",600-1200,,,,,
другой,5,4,C#/.NET,900,300,50 - 200 человек,"(3, 7]",> 3,600-1200,,,,,
Киев,15,5,HTML/CSS/JavaScript,900,0,меньше 10 человек,> 7,> 3,600-1200,,,,,
Киев,3,0.6,PHP,950,500,больше 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Харьков,3,1,C#/.NET,950,550,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,3,1.5,Embedded,950,500,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Харьков,4,2.5,QA/Testing,950,250,больше 200 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
другой,5,5,PHP,950,562.5,10 - 50 человек,"(3, 7]",> 3,600-1200,,,,,
Киев,7,7,C#/.NET,950,1000,меньше 10 человек,> 7,> 3,600-1200,,,,,
Киев,5,4,Project manager,960,540,10 - 50 человек,"(3, 7]",> 3,600-1200,,,,,
другой,2,0.1,Python,1000,500,10 - 50 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
другой,2,0.1,QA/Testing,1000,,больше 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
