Город,Общий стаж работы по специальности,Стаж на текущем месте работы,Специализация,Зарплата за последний месяц,Прибавка к зарплате,Размер компании,Стаж,Стаж на текущем месте работы,ЗП,,,,,
Киев,3,0.1,C++,1000,500,50 - 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Киев,3,0.1,Flex/Flash/AIR,1000,1000,10 - 50 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
другой,5,0.1,Java,1000,500,больше 200 человек,"(3, 7]",≤ 0.5,600-1200,,,,,
другой,3,0.2,Mobile,1000,500,10 - 50 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Киев,3,0.25,Embedded,1000,500,50 - 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Киев,3,0.3,Java,1000,500,больше 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Киев,3,0.4,C#/.NET,1000,400,10 - 50 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
другой,4,0.4,PHP,1000,500,10 - 50 человек,"(3, 7]",≤ 0.5,600-1200,,,,,
Киев,2,0.5,PHP,1000,500,меньше 10 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Львов,2,0.5,Java,1000,500,50 - 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
другой,2,0.5,QA/Testing,1000,500,больше 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Львов,2.5,0.5,Embedded,1000,500,10 - 50 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
другой,2.5,0.5,C#/.NET,1000,400,10 - 50 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Львов,3,0.5,C#/.NET,1000,900,50 - 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
другой,4,0.5,Gamedev,1000,300,10 - 50 человек,"(3, 7]",≤ 0.5,600-1200,,,,,
другой,6,0.5,Java,1000,500,50 - 200 человек,"(3, 7]",≤ 0.5,600-1200,,,,,
Харьков,2.5,0.6,C#/.NET,1000,300,50 - 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,3,0.6,Java,1000,300,50 - 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,1.5,0.7,Java,1000,1000,50 - 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,1,1,Objective-C,1000,500,больше 200 человек,≤ 1,"(0.5, 1.5]",600-1200,,,,,
Киев,2,1,Python,1000,1500,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,2,1,C++,1000,500,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Львов,2.5,1,QA/Testing,1000,500,больше 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,3,1,PHP,1000,500,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
другой,3,1,PHP,1000,,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,3,1,PHP,1000,400,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,3,1,PHP,1000,200,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,3,1,C#/.NET,1000,500,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,3,1,C#/.NET,1000,1000,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
другой,8,1,Oracle,1000,300,больше 200 человек,> 7,"(0.5, 1.5]",600-1200,,,,,
Киев,8,1,PHP,1000,300,меньше 10 человек,> 7,"(0.5, 1.5]",600-1200,,,,,
другой,10,1,C#/.NET,1000,500,меньше 10 человек,> 7,"(0.5, 1.5]",600-1200,,,,,
Киев,3,1.1,QA/Testing,1000,300,больше 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Львов,2,1.5,C#/.NET,1000,1000,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Харьков,3,1.5,Oracle,1000,500,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
другой,4,1.5,HTML/CSS/JavaScript,1000,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",600-1200,,,,,
Львов,5,1.8,HTML/CSS/JavaScript,1000,600,меньше 10 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Киев,2,2,Objective-C,1000,700,10 - 50 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Харьков,3,2,C#/.NET,1000,500,10 - 50 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Харьков,4,2,PHP,1000,500,10 - 50 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
другой,5,2,C++,1000,,меньше 10 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Киев,5,2,C#/.NET,1000,500,меньше 10 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
другой,6,2,C#/.NET,1000,200,меньше 10 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
другой,7,2,C#/.NET,1000,500,10 - 50 человек,> 7,"(1.5, 3]",600-1200,,,,,
другой,8,2,Java,1000,1000,больше 200 человек,> 7,"(1.5, 3]",600-1200,,,,,
Харьков,9,2.5,Python,1000,1000,меньше 10 человек,> 7,"(1.5, 3]",600-1200,,,,,
Харьков,3,3,Flex/Flash/AIR,1000,1000,50 - 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Киев,3,3,C++,1000,500,50 - 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Киев,3,3,C#/.NET,1000,625,10 - 50 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
другой,3,3,QA/Testing,1000,400,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
другой,3,3,Java,1000,1000,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
другой,4,3,PHP,1000,200,меньше 10 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Харьков,5,3,Embedded,1000,500,50 - 200 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Харьков,5,3,Java,1000,,больше 200 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Киев,4,3.5,C#/.NET,1000,700,10 - 50 человек,"(3, 7]",> 3,600-1200,,,,,
Харьков,4,4,Project manager,1000,700,50 - 200 человек,"(3, 7]",> 3,600-1200,,,,,
Львов,4,4,QA/Testing,1000,1000,больше 200 человек,"(3, 7]",> 3,600-1200,,,,,
Харьков,5,4,C++,1000,1000,50 - 200 человек,"(3, 7]",> 3,600-1200,,,,,
другой,5,5,HTML/CSS/JavaScript,1000,200,10 - 50 человек,"(3, 7]",> 3,600-1200,,,,,
Киев,9,5,Oracle,1000,500,50 - 200 человек,> 7,> 3,600-1200,,,,,
Киев,10,5,C#/.NET,1000,500,50 - 200 человек,> 7,> 3,600-1200,,,,,
Харьков,6,6,C++,1000,500,10 - 50 человек,"(3, 7]",> 3,600-1200,,,,,
другой,7,6,C#/.NET,1000,1000,больше 200 человек,> 7,> 3,600-1200,,,,,
другой,15,6,C#/.NET,1000,300,меньше 10 человек,> 7,> 3,600-1200,,,,,
другой,10,7,QA/Testing,1000,600,меньше 10 человек,> 7,> 3,600-1200,,,,,
другой,13,7,Oracle,1000,500,больше 200 человек,> 7,> 3,600-1200,,,,,
Львов,10,9,C++,1000,200,меньше 10 человек,> 7,> 3,600-1200,,,,,
Харьков,10,10,Oracle,1000,300,50 - 200 человек,> 7,> 3,600-1200,,,,,
Киев,14,10,PHP,1000,1000,10 - 50 человек,> 7,> 3,600-1200,,,,,
Киев,15,10,C++,1000,1000,10 - 50 человек,> 7,> 3,600-1200,,,,,
Харьков,4,2,Embedded,1050,400,50 - 200 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Харьков,4,2.5,C#/.NET,1050,550,50 - 200 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
другой,3,3,PHP,1050,350,10 - 50 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Львов,4,3,QA/Testing,1050,250,больше 200 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Харьков,3,0.1,QA/Testing,1100,400,больше 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Киев,4,0.2,C++,1100,400,50 - 200 человек,"(3, 7]",≤ 0.5,600-1200,,,,,
Львов,1.25,0.25,Java,1100,500,10 - 50 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Киев,4,0.3,Java,1100,600,10 - 50 человек,"(3, 7]",≤ 0.5,600-1200,,,,,
Киев,2,0.4,Flex/Flash/AIR,1100,800,больше 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
другой,4,0.5,PHP,1100,400,меньше 10 человек,"(3, 7]",≤ 0.5,600-1200,,,,,
Харьков,5,0.5,PHP,1100,700,10 - 50 человек,"(3, 7]",≤ 0.5,600-1200,,,,,
Киев,2,1,Embedded,1100,300,больше 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Харьков,2.5,1,Java,1100,400,больше 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,3,1,Java,1100,500,больше 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Львов,3,1.2,C#/.NET,1100,500,50 - 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Львов,3,1.5,C#/.NET,1100,500,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Харьков,3.5,2,HTML/CSS/JavaScript,1100,500,50 - 200 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Львов,3,3,C#/.NET,1100,1000,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
другой,4,3,PHP,1100,600,меньше 10 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Харьков,4,3,PHP,1100,500,10 - 50 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
другой,4,3,C#/.NET,1100,500,больше 200 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Киев,4,4,Mobile,1100,1400,10 - 50 человек,"(3, 7]",> 3,600-1200,,,,,
другой,6,3 месяца,PHP,1100,600,50 - 200 человек,"(3, 7]",> 3,600-1200,,,,,
Киев,2.5,0.5,C#/.NET,1150,300,10 - 50 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Харьков,2,2,HTML/CSS/JavaScript,1150,200,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
другой,17,4,Java,1150,350,50 - 200 человек,> 7,> 3,600-1200,,,,,
другой,5,4,Java,1170,780,10 - 50 человек,"(3, 7]",> 3,600-1200,,,,,
другой,3,0,Java,1200,500,10 - 50 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Харьков,2,0.1,Java,1200,300,50 - 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Львов,5,0.1,HTML/CSS/JavaScript,1200,800,больше 200 человек,"(3, 7]",≤ 0.5,600-1200,,,,,
Киев,10,0.1,HTML/CSS/JavaScript,1200,500,больше 200 человек,> 7,≤ 0.5,600-1200,,,,,
Киев,1,0.2,C#/.NET,1200,500,больше 200 человек,≤ 1,≤ 0.5,600-1200,,,,,
Харьков,2.5,0.2,C#/.NET,1200,300,10 - 50 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Харьков,2,0.25,Java,1200,600,50 - 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Харьков,3,0.25,C#/.NET,1200,800,10 - 50 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Харьков,3,0.25,Python,1200,600,10 - 50 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Харьков,3,0.25,Java,1200,500,больше 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
другой,4,0.4,C#/.NET,1200,400,меньше 10 человек,"(3, 7]",≤ 0.5,600-1200,,,,,
Харьков,1,0.5,Java,1200,500,больше 200 человек,≤ 1,≤ 0.5,600-1200,,,,,
Киев,2.5,0.5,C#/.NET,1200,600,50 - 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
другой,3,0.5,C#/.NET,1200,800,10 - 50 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Киев,3,0.5,HTML/CSS/JavaScript,1200,600,50 - 200 человек,"(1, 3]",≤ 0.5,600-1200,,,,,
Львов,4,0.5,C#/.NET,1200,1600,больше 200 человек,"(3, 7]",≤ 0.5,600-1200,,,,,
Харьков,11,0.5,QA/Testing,1200,500,больше 200 человек,> 7,≤ 0.5,600-1200,,,,,
Киев,2,1,Java,1200,300,больше 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,2,1,Java,1200,800,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Харьков,2,1,Python,1200,,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Харьков,3,1,PHP,1200,400,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Харьков,3,1,Python,1200,800,10 - 50 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Львов,3,1,PHP,1200,800,50 - 200 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Киев,3.5,1,QA/Testing,1200,300,больше 200 человек,"(3, 7]","(0.5, 1.5]",600-1200,,,,,
другой,4,1,PHP,1200,1000,10 - 50 человек,"(3, 7]","(0.5, 1.5]",600-1200,,,,,
другой,5,1,PHP,1200,800,10 - 50 человек,"(3, 7]","(0.5, 1.5]",600-1200,,,,,
Киев,5,1,Flex/Flash/AIR,1200,1000,меньше 10 человек,"(3, 7]","(0.5, 1.5]",600-1200,,,,,
другой,1.3,1.3,Java,1200,500,меньше 10 человек,"(1, 3]","(0.5, 1.5]",600-1200,,,,,
Харьков,2.5,2,Java,1200,300,50 - 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Львов,3,2,C++,1200,,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Львов,3,2,Java,1200,500,50 - 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Киев,4,2,Ruby/Rails,1200,800,10 - 50 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Львов,4,2,C++,1200,500,50 - 200 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
другой,4,2,PHP,1200,800,10 - 50 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Харьков,5,2,C#/.NET,1200,300,10 - 50 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Киев,5,2,C++,1200,1000,10 - 50 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Харьков,4,2.7,QA/Testing,1200,800,50 - 200 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Харьков,3,3,QA/Testing,1200,900,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Львов,3,3,C#/.NET,1200,300,50 - 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
другой,3,3,C++,1200,0,больше 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
другой,3,3,C#/.NET,1200,1000,50 - 200 человек,"(1, 3]","(1.5, 3]",600-1200,,,,,
Харьков,5,3,Embedded,1200,400,50 - 200 человек,"(3, 7]","(1.5, 3]",600-1200,,,,,
Киев,8,3,HTML/CSS/JavaScript,1200,200,меньше 10 человек,> 7,"(1.5, 3]",600-1200,,,,,
Харьков,17,3,C#/.NET,1200,1000,50 - 200 человек,> 7,"(1.5, 3]",600-1200,,,,,
Харьков,4.5,3.5,C++,1200,400,10 - 50 человек,"(3, 7]",> 3,600-1200,,,,,
Харьков,4,4,C#/.NET,1200,500,50 - 200 человек,"(3, 7]",> 3,600-1200,,,,,
Львов,5,4,Java,1200,500,больше 200 человек,"(3, 7]",> 3,600-1200,,,,,
Львов,5,4,C#/.NET,1200,500,10 - 50 человек,"(3, 7]",> 3,600-1200,,,,,
Киев,6,4,Oracle,1200,500,больше 200 человек,"(3, 7]",> 3,600-1200,,,,,
другой,6,4,PHP,1200,800,10 - 50 человек,"(3, 7]",> 3,600-1200,,,,,
Киев,7,4,QA/Testing,1200,800,10 - 50 человек,> 7,> 3,600-1200,,,,,
другой,8,4,Java,1200,800,меньше 10 человек,> 7,> 3,600-1200,,,,,
Киев,10,4,Java,1200,1000,меньше 10 человек,> 7,> 3,600-1200,,,,,
другой,5,5,PHP,1200,600,10 - 50 человек,"(3, 7]",> 3,600-1200,,,,,
Киев,11,7,C++,1200,100,10 - 50 человек,> 7,> 3,600-1200,,,,,
Киев,4,0.3,Project manager,1250,625,меньше 10 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Киев,5,0.3,Python,1250,,меньше 10 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Харьков,4,0.8,QA/Testing,1250,750,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,7,1.7,PHP,1250,500,50 - 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Киев,10,2,C#/.NET,1250,625,10 - 50 человек,> 7,"(1.5, 3]",1250-1800,,,,,
другой,11,2,C++,1250,750,50 - 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Киев,2.5,2.4,Project manager,1250,300,меньше 10 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Харьков,9,2.5,C++,1250,500,10 - 50 человек,> 7,"(1.5, 3]",1250-1800,,,,,
другой,3,3,QA/Testing,1250,1250,10 - 50 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,3,3,C++,1250,,10 - 50 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
другой,3,3,C#/.NET,1250,250,50 - 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
другой,6,2,Embedded,1265,500,больше 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
другой,3,2,C#/.NET,1270,500,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
другой,3,0.2,Java,1300,700,50 - 200 человек,"(1, 3]",≤ 0.5,1250-1800,,,,,
Харьков,3,0.5,QA/Testing,1300,400,больше 200 человек,"(1, 3]",≤ 0.5,1250-1800,,,,,
Львов,3,0.5,QA/Testing,1300,,больше 200 человек,"(1, 3]",≤ 0.5,1250-1800,,,,,
Харьков,5,0.5,Java,1300,500,больше 200 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Киев,2,1,Java,1300,1000,больше 200 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Киев,2.5,1,C#/.NET,1300,500,меньше 10 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Киев,3,1,Java,1300,300,меньше 10 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Львов,3,1,Python,1300,700,больше 200 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Киев,4,1,QA/Testing,1300,700,больше 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
другой,4,1,PHP,1300,400,больше 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,5,1,C++,1300,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Харьков,2,1.5,Java,1300,1000,50 - 200 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Киев,6,1.5,PHP,1300,300,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,3,2,C#/.NET,1300,300,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Львов,3,2,Java,1300,500,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
другой,11,2,C++,1300,400,больше 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
другой,3,3,C#/.NET,1300,700,10 - 50 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,7,3,Embedded,1300,3900,10 - 50 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Львов,4,4,QA/Testing,1300,500,50 - 200 человек,"(3, 7]",> 3,1250-1800,,,,,
другой,5,5,Project manager,1300,625,меньше 10 человек,"(3, 7]",> 3,1250-1800,,,,,
другой,12,7,Java,1300,500,больше 200 человек,> 7,> 3,1250-1800,,,,,
другой,4,4,C#/.NET,1350,500,50 - 200 человек,"(3, 7]",> 3,1250-1800,,,,,
Киев,7,5,PHP,1350,500,10 - 50 человек,> 7,> 3,1250-1800,,,,,
Харьков,3,2,C#/.NET,1375,500,50 - 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,5,0.1,PHP,1400,400,50 - 200 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Киев,5,0.25,C#/.NET,1400,300,10 - 50 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
другой,1,0.5,Mobile,1400,800,больше 200 человек,≤ 1,≤ 0.5,1250-1800,,,,,
Киев,2,0.5,HTML/CSS/JavaScript,1400,500,10 - 50 человек,"(1, 3]",≤ 0.5,1250-1800,,,,,
Харьков,4,0.5,Objective-C,1400,500,50 - 200 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Киев,4,0.5,Java,1400,600,больше 200 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Киев,4,0.5,C#/.NET,1400,600,больше 200 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Львов,5,0.5,C++,1400,400,50 - 200 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Харьков,4,0.8,Java,1400,400,50 - 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Львов,3,1,Embedded,1400,600,10 - 50 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Киев,3,1,HTML/CSS/JavaScript,1400,600,50 - 200 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
другой,5,1,C++,1400,600,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,4,1.5,Python,1400,600,50 - 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,8,1.5,HTML/CSS/JavaScript,1400,,больше 200 человек,> 7,"(0.5, 1.5]",1250-1800,,,,,
другой,3,2,C++,1400,600,50 - 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Харьков,4,2,QA/Testing,1400,600,больше 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Харьков,4,2,Embedded,1400,600,50 - 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Харьков,4,2,Java,1400,300,10 - 50 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,7,2,C#/.NET,1400,500,50 - 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Харьков,3,3,C#/.NET,1400,1000,50 - 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Львов,3,3,QA/Testing,1400,400,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Львов,3,3,C#/.NET,1400,300,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,4,3,QA/Testing,1400,500,больше 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,5,3,C#/.NET,1400,400,меньше 10 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Львов,6,3,C#/.NET,1400,600,больше 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Харьков,7,3,Flex/Flash/AIR,1400,1600,10 - 50 человек,> 7,"(1.5, 3]",1250-1800,,,,,
другой,10,3,Java,1400,200,50 - 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Харьков,6,4,C#/.NET,1400,400,больше 200 человек,"(3, 7]",> 3,1250-1800,,,,,
другой,5,5,Java,1400,1000,10 - 50 человек,"(3, 7]",> 3,1250-1800,,,,,
Харьков,6.5,6.5,C#/.NET,1400,400,50 - 200 человек,"(3, 7]",> 3,1250-1800,,,,,
Киев,6.5,6.5,C#/.NET,1400,,10 - 50 человек,"(3, 7]",> 3,1250-1800,,,,,
Львов,10,1.5,C#/.NET,1430,455,меньше 10 человек,> 7,"(0.5, 1.5]",1250-1800,,,,,
Киев,3,2,C#/.NET,1430,1040,10 - 50 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,3,1,Java,1450,300,больше 200 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Харьков,5,2,QA/Testing,1450,200,50 - 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Харьков,3.5,2.5,Java,1450,500,50 - 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Харьков,4,2.5,QA/Testing,1450,450,больше 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Львов,4,8,Java,1500,600,50 - 200 человек,"(3, 7]",> 3,1250-1800,,,,,
Харьков,3,0,Java,1500,1000,10 - 50 человек,"(1, 3]",≤ 0.5,1250-1800,,,,,
Киев,6,0,C++,1500,500,50 - 200 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Киев,3,0.1,Ruby/Rails,1500,375,10 - 50 человек,"(1, 3]",≤ 0.5,1250-1800,,,,,
Киев,3.5,0.1,C#/.NET,1500,700,меньше 10 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
