Город,Общий стаж работы по специальности,Стаж на текущем месте работы,Специализация,Зарплата за последний месяц,Прибавка к зарплате,Размер компании,Стаж,Стаж на текущем месте работы,ЗП,,,,,
Харьков,10,0.5,C#/.NET,1900,700,больше 200 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,4,1,Java,1900,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,4,1,Java,1900,600,50 - 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Львов,4,1,C#/.NET,1900,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
другой,5,1,Mobile,1900,400,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,7,1,C#/.NET,1900,500,10 - 50 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Львов,8,2,Oracle,1900,500,больше 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Харьков,10,2,C#/.NET,1900,400,10 - 50 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,2.5,2.5,HTML/CSS/JavaScript,1900,500,больше 200 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
Киев,3,3,Java,1900,600,больше 200 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
Киев,5,3,C++,1900,500,50 - 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
другой,5,4,C#/.NET,1900,500,больше 200 человек,"(3, 7]",> 3,1850-2500,,,,,
Киев,5,5,QA/Testing,1900,500,50 - 200 человек,"(3, 7]",> 3,1850-2500,,,,,
Львов,7,5,Embedded,1900,400,50 - 200 человек,> 7,> 3,1850-2500,,,,,
Харьков,8,5,C#/.NET,1900,400,больше 200 человек,> 7,> 3,1850-2500,,,,,
Киев,10,0.25,Embedded,1950,1950,10 - 50 человек,> 7,≤ 0.5,1850-2500,,,,,
Львов,8,1,Flex/Flash/AIR,1950,300,50 - 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
другой,10,1.25,C#/.NET,1950,1000,меньше 10 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Харьков,3,0,C#/.NET,2000,500,больше 200 человек,"(1, 3]",≤ 0.5,1850-2500,,,,,
Киев,3,0.1,C#/.NET,2000,,50 - 200 человек,"(1, 3]",≤ 0.5,1850-2500,,,,,
Киев,9,0.1,Embedded,2000,600,больше 200 человек,> 7,≤ 0.5,1850-2500,,,,,
Львов,6,0.2,Java,2000,400,больше 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,2,0.25,Java,2000,700,10 - 50 человек,"(1, 3]",≤ 0.5,1850-2500,,,,,
Киев,4,0.25,PHP,2000,400,больше 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,4,0.3,Java,2000,500,больше 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,9,0.3,C#/.NET,2000,400,меньше 10 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,4,0.4,Objective-C,2000,500,50 - 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,8,0.4,C#/.NET,2000,,больше 200 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,2,0.5,Objective-C,2000,1000,50 - 200 человек,"(1, 3]",≤ 0.5,1850-2500,,,,,
Харьков,5,0.5,C#/.NET,2000,2000,10 - 50 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,6,0.5,Project manager,2000,1000,меньше 10 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,8,0.5,Oracle,2000,500,меньше 10 человек,> 7,≤ 0.5,1850-2500,,,,,
Харьков,10,0.5,C#/.NET,2000,1000,больше 200 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,12,0.5,PHP,2000,700,10 - 50 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,13,0.5,Java,2000,1000,50 - 200 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,3,0.9,PHP,2000,500,меньше 10 человек,"(1, 3]","(0.5, 1.5]",1850-2500,,,,,
Киев,2,1,Java,2000,1000,больше 200 человек,"(1, 3]","(0.5, 1.5]",1850-2500,,,,,
Харьков,3,1,Python,2000,1000,10 - 50 человек,"(1, 3]","(0.5, 1.5]",1850-2500,,,,,
Харьков,3,1,Project manager,2000,500,50 - 200 человек,"(1, 3]","(0.5, 1.5]",1850-2500,,,,,
Львов,4,1,C++,2000,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,4,1,Java,2000,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,4,1,C#/.NET,2000,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Харьков,4,1,PHP,2000,4000,меньше 10 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,5,1,PHP,2000,30,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Харьков,5,1,QA/Testing,2000,700,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Харьков,5,1,C#/.NET,2000,500,50 - 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Львов,5,1,HTML/CSS/JavaScript,2000,500,50 - 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Харьков,6,1,Project manager,2000,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,6,1,QA/Testing,2000,1000,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,7,1,PHP,2000,500,больше 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,8,1,PHP,2000,500,больше 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,10,1,Java,2000,500,больше 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,12,1,Embedded,2000,400,больше 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,5,1.2,Mobile,2000,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
другой,4,1.5,PHP,2000,2000,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,4.5,1.5,C++,2000,2000,меньше 10 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Харьков,5,1.5,C#/.NET,2000,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,2,2,Objective-C,2000,500,меньше 10 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
Киев,2,2,PHP,2000,600,10 - 50 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
Киев,3,2,QA/Testing,2000,500,10 - 50 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
Киев,4,2,Mobile,2000,500,10 - 50 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,4.5,2,Python,2000,500,10 - 50 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,5,2,C++,2000,1000,меньше 10 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Львов,5,2,Java,2000,1000,10 - 50 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Харьков,5,2,C#/.NET,2000,800,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
другой,5,2,C#/.NET,2000,,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
другой,6,2,C#/.NET,2000,600,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,6,2,Java,2000,500,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,6,2,C#/.NET,2000,600,меньше 10 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,7,2,Gamedev,2000,500,меньше 10 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Харьков,7,2,PHP,2000,900,50 - 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Харьков,10,2,C#/.NET,2000,300,50 - 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,10,2,Project manager,2000,500,меньше 10 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,11,2,C#/.NET,2000,1000,больше 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,12,2,C#/.NET,2000,1000,10 - 50 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,4,2.5,Java,2000,,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,5,2.5,C++,2000,500,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Львов,7,2.5,C#/.NET,2000,400,меньше 10 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,10,2.5,PHP,2000,700,больше 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Харьков,3,3,Gamedev,2000,500,10 - 50 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
другой,3,3,Embedded,2000,1000,больше 200 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
Харьков,3,3,C#/.NET,2000,700,10 - 50 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
Львов,3,3,Java,2000,600,50 - 200 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
Харьков,4,3,Project manager,2000,1000,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Харьков,5,3,C#/.NET,2000,500,10 - 50 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
другой,6,3,C++,2000,400,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,6,3,HTML/CSS/JavaScript,2000,500,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
другой,6,3,Java,2000,1000,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,8,3,Oracle,2000,2000,больше 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,9,3,PHP,2000,2000,меньше 10 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,10,3,HTML/CSS/JavaScript,2000,500,больше 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Харьков,5,3.5,Java,2000,1500,50 - 200 человек,"(3, 7]",> 3,1850-2500,,,,,
Харьков,6,4,Mobile,2000,300,больше 200 человек,"(3, 7]",> 3,1850-2500,,,,,
другой,10,4,C++,2000,300,больше 200 человек,> 7,> 3,1850-2500,,,,,
другой,12,4,Objective-C,2000,1000,50 - 200 человек,> 7,> 3,1850-2500,,,,,
Львов,13,4,Embedded,2000,200,50 - 200 человек,> 7,> 3,1850-2500,,,,,
другой,13,4,C#/.NET,2000,1000,меньше 10 человек,> 7,> 3,1850-2500,,,,,
Киев,5,5,Project manager,2000,1000,50 - 200 человек,"(3, 7]",> 3,1850-2500,,,,,
Киев,5,5,Java,2000,500,больше 200 человек,"(3, 7]",> 3,1850-2500,,,,,
Киев,6,5,QA/Testing,2000,500,10 - 50 человек,"(3, 7]",> 3,1850-2500,,,,,
Киев,7,5,QA/Testing,2000,800,больше 200 человек,> 7,> 3,1850-2500,,,,,
Киев,7,5,Project manager,2000,750,больше 200 человек,> 7,> 3,1850-2500,,,,,
Львов,10,5,C#/.NET,2000,500,10 - 50 человек,> 7,> 3,1850-2500,,,,,
другой,10,5,Java,2000,300,меньше 10 человек,> 7,> 3,1850-2500,,,,,
другой,20,5,Java,2000,1000,больше 200 человек,> 7,> 3,1850-2500,,,,,
Киев,10,6,Oracle,2000,100,50 - 200 человек,> 7,> 3,1850-2500,,,,,
Харьков,10,6,C#/.NET,2000,1000,меньше 10 человек,> 7,> 3,1850-2500,,,,,
другой,10,6,Project manager,2000,1000,10 - 50 человек,> 7,> 3,1850-2500,,,,,
другой,7,7,PHP,2000,,меньше 10 человек,> 7,> 3,1850-2500,,,,,
другой,8,7,Project manager,2000,2000,больше 200 человек,> 7,> 3,1850-2500,,,,,
Киев,11,7,C#/.NET,2000,700,50 - 200 человек,> 7,> 3,1850-2500,,,,,
Киев,5,8,Java,2000,1000,больше 200 человек,"(3, 7]",> 3,1850-2500,,,,,
Киев,12,8,C#/.NET,2000,500,больше 200 человек,> 7,> 3,1850-2500,,,,,
Киев,11,10,Java,2000,,больше 200 человек,> 7,> 3,1850-2500,,,,,
Киев,18,12,Project manager,2000,2000,меньше 10 человек,> 7,> 3,1850-2500,,,,,
Львов,14,14,Project manager,2000,1500,больше 200 человек,> 7,> 3,1850-2500,,,,,
другой,17,14,Java,2000,2000,10 - 50 человек,> 7,> 3,1850-2500,,,,,
Харьков,15,6,C#/.NET,2050,500,больше 200 человек,> 7,> 3,1850-2500,,,,,
Львов,5,0.5,C#/.NET,2100,0,10 - 50 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,4,0.75,Java,2100,700,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,4,1,Flex/Flash/AIR,2100,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,15,1,C#/.NET,2100,500,больше 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Львов,7,1.5,Java,2100,500,50 - 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,3,2,Flex/Flash/AIR,2100,900,больше 200 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
Харьков,7,2,QA/Testing,2100,700,больше 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,10,2,C++,2100,700,50 - 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,6.5,2.5,Project manager,2100,400,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,3,3,C#/.NET,2100,600,50 - 200 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
Киев,10,3,C#/.NET,2100,300,больше 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,8,3.5,C++,2100,500,50 - 200 человек,> 7,> 3,1850-2500,,,,,
Киев,7,4,QA/Testing,2100,500,больше 200 человек,> 7,> 3,1850-2500,,,,,
Киев,5,5,Objective-C,2100,500,больше 200 человек,"(3, 7]",> 3,1850-2500,,,,,
Киев,7,5,C#/.NET,2100,900,больше 200 человек,> 7,> 3,1850-2500,,,,,
Киев,9,6,Project manager,2100,500,больше 200 человек,> 7,> 3,1850-2500,,,,,
Киев,4,0.4,Java,2150,350,больше 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,17,0.4,Oracle,2200,300,50 - 200 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,3,0.9,C#/.NET,2200,500,10 - 50 человек,"(1, 3]","(0.5, 1.5]",1850-2500,,,,,
Киев,2,1,Java,2200,1000,50 - 200 человек,"(1, 3]","(0.5, 1.5]",1850-2500,,,,,
Киев,6,1,Embedded,2200,400,50 - 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
другой,13,1,C#/.NET,2200,500,меньше 10 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,4,1.5,QA/Testing,2200,500,50 - 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
другой,5,1.5,PHP,2200,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Львов,4.5,2,Oracle,2200,200,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,5,2,Project manager,2200,500,50 - 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,5,2,C#/.NET,2200,600,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Харьков,6,2,C#/.NET,2200,500,10 - 50 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Харьков,7,2,Java,2200,800,50 - 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,7,2,Java,2200,800,больше 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,8,2.3,Mobile,2200,500,50 - 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
другой,4,3,Ruby/Rails,2200,1000,50 - 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,4.5,3,C#/.NET,2200,500,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,6,3,C#/.NET,2200,500,меньше 10 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
другой,10,3,Mobile,2200,500,10 - 50 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Львов,6,4,Java,2200,1000,больше 200 человек,"(3, 7]",> 3,1850-2500,,,,,
Киев,7,4,C++,2200,600,больше 200 человек,> 7,> 3,1850-2500,,,,,
Львов,15,5,QA/Testing,2200,400,больше 200 человек,> 7,> 3,1850-2500,,,,,
другой,10,6,Project manager,2200,800,10 - 50 человек,> 7,> 3,1850-2500,,,,,
Харьков,10,3,QA/Testing,2210,780,10 - 50 человек,> 7,"(1.5, 3]",1850-2500,,,,,
другой,6,6,C++,2250,1000,больше 200 человек,"(3, 7]",> 3,1850-2500,,,,,
другой,7,7,Java,2250,300,больше 200 человек,> 7,> 3,1850-2500,,,,,
Киев,3,0.1,Java,2300,400,больше 200 человек,"(1, 3]",≤ 0.5,1850-2500,,,,,
Киев,4,0.25,Objective-C,2300,400,больше 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Львов,5,0.3,Java,2300,500,больше 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Львов,6,0.41,Java,2300,500,больше 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,5,0.5,C#/.NET,2300,400,больше 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,6,0.5,Mobile,2300,460,50 - 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,4,1,Embedded,2300,300,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,8,1,Java,2300,200,больше 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,4,2,C#/.NET,2300,500,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,4,2,Java,2300,500,10 - 50 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
другой,5,2,Java,2300,,50 - 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,7,2,Java,2300,700,больше 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,8,2,HTML/CSS/JavaScript,2300,500,10 - 50 человек,> 7,"(1.5, 3]",1850-2500,,,,,
другой,8,2,C#/.NET,2300,700,меньше 10 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,3.5,2.5,Python,2300,1150,50 - 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
другой,4.5,2.5,Java,2300,500,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,4,3,Java,2300,1000,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,5,3,Java,2300,500,10 - 50 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
другой,6,3,PHP,2300,700,меньше 10 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,6,3,C#/.NET,2300,500,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Львов,7,4,C++,2300,1000,больше 200 человек,> 7,> 3,1850-2500,,,,,
Киев,10,6,Oracle,2300,700,больше 200 человек,> 7,> 3,1850-2500,,,,,
другой,4,1,Java,2350,1000,50 - 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,7,1,Python,2350,700,10 - 50 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,5,0.1,C++,2400,500,больше 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,3,0.4,Java,2400,300,больше 200 человек,"(1, 3]",≤ 0.5,1850-2500,,,,,
Киев,8,0.5,Project manager,2400,600,10 - 50 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,4,1,C#/.NET,2400,400,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
другой,5.5,1,Objective-C,2400,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,12,1,C#/.NET,2400,1000,10 - 50 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,5,1.5,C#/.NET,2400,600,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,3.5,3,Flex/Flash/AIR,2400,600,меньше 10 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
другой,6,3,PHP,2400,600,меньше 10 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,10,4,C#/.NET,2400,500,10 - 50 человек,> 7,> 3,1850-2500,,,,,
Киев,8,0.1,Objective-C,2500,500,больше 200 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,2,0.2,C++,2500,700,больше 200 человек,"(1, 3]",≤ 0.5,1850-2500,,,,,
другой,3,0.2,Python,2500,1000,меньше 10 человек,"(1, 3]",≤ 0.5,1850-2500,,,,,
Киев,3,0.25,Python,2500,1000,меньше 10 человек,"(1, 3]",≤ 0.5,1850-2500,,,,,
Киев,5,0.25,Ruby/Rails,2500,500,меньше 10 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,4,0.3,C#/.NET,2500,500,50 - 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
другой,6,0.3,C#/.NET,2500,500,больше 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,4,0.5,Objective-C,2500,300,50 - 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,4,0.5,C#/.NET,2500,1500,10 - 50 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,10,0.5,Mobile,2500,500,10 - 50 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,4,0.6,Java,2500,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Харьков,4,0.6,C#/.NET,2500,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
другой,1,0.8,Java,2500,1000,10 - 50 человек,≤ 1,"(0.5, 1.5]",1850-2500,,,,,
Киев,9,0.8,Oracle,2500,700,больше 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,10,0.9,Project manager,2500,500,больше 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,4,1,Java,2500,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,5,1,Java,2500,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,5,1,C#/.NET,2500,300,меньше 10 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,6,1,QA/Testing,2500,300,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
другой,7,1,Embedded,2500,2500,меньше 10 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,7,1,Java,2500,300,больше 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,8,1,C#/.NET,2500,2000,больше 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Харьков,8,1,Objective-C,2500,500,50 - 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,10,1.1,Java,2500,300,больше 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,8,1.2,Ruby/Rails,2500,2500,50 - 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Харьков,7,1.25,Java,2500,500,10 - 50 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
другой,6,1.5,C#/.NET,2500,1000,меньше 10 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,6,1.5,Ruby/Rails,2500,1000,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,5,1.6,C#/.NET,2500,500,50 - 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,4,2,Project manager,2500,1000,10 - 50 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,4.5,2,C++,2500,500,50 - 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,4.5,2,Java,2500,2000,10 - 50 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,5,2,Java,2500,500,10 - 50 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Харьков,5,2,C#/.NET,2500,500,10 - 50 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,5,2,QA/Testing,2500,1000,50 - 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,6,2,PHP,2500,1000,меньше 10 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,7,2,Python,2500,700,10 - 50 человек,> 7,"(1.5, 3]",1850-2500,,,,,
