Timestamp,Возраст,Город,Общий стаж работы по специальности,Специализация,Зарплата за последний месяц,Прибавка к зарплате,Стаж на текущем месте работы,Размер компании
10/12/2010 10:24:39,,Киев,4,C++,1800,300,6 мес,больше 200 человек
10/12/2010 10:28:42,,Киев,8,PHP,1500,500,4,10 - 50 человек
10/12/2010 10:29:09,,Киев,10 лет,PHP,1800 USD,700 USD,1 месяц,10 - 50 человек
10/12/2010 10:29:54,,другой,6,Embedded,1265,500,2,больше 200 человек
10/12/2010 10:29:55,,Киев,4,Ruby/Rails,1200,800,2,10 - 50 человек
10/12/2010 10:31:08,,Киев,3,C#/.NET,8000,5000,3,10 - 50 человек
10/12/2010 10:31:08,,Львов,"1,5 лет",C#/.NET,$750,$400,7 месяцев,10 - 50 человек
10/12/2010 10:31:22,,Киев,7,Gamedev,2000 $,500 $,2,меньше 10 человек
10/12/2010 10:32:34,,Киев,3.5,C#/.NET,,1200,<0.5,больше 200 человек
10/12/2010 10:33:03,,другой,5,PHP,7600 грн,4500,5,10 - 50 человек
10/12/2010 10:33:37,,Киев,5,Project manager,4100,1000,2.5,50 - 200 человек
10/12/2010 10:33:42,,Киев,3.5,Python,2300,50%,2.5,50 - 200 человек
10/12/2010 10:34:02,,Киев,11,Java,3500,1000,3,больше 200 человек
10/12/2010 10:34:03,,Львов,4,PHP,100,400,3,меньше 10 человек
10/12/2010 10:34:22,,Киев,3 года,Python,20000 гривен,40..50%,3 месяца,меньше 10 человек
10/12/2010 10:34:27,,Киев,5,C#/.NET,1500,500+,2,меньше 10 человек
10/12/2010 10:34:59,,Львов,5,C#/.NET,,800 $,1.5,10 - 50 человек
10/12/2010 10:35:38,,Киев,"3,5 года",Flex/Flash/AIR,2400,600,3 года,меньше 10 человек
10/12/2010 10:35:56,,другой,5,PHP,1600,400,4.5,10 - 50 человек
10/12/2010 10:35:59,,Харьков,6,Mobile,2000,"400 (заставят серьёзно задуматься, а в зависимости от прочих условий, от 200)",4,больше 200 человек
10/12/2010 10:35:59,,Киев,6,Flex/Flash/AIR,1800,2300,0.5,больше 200 человек
10/12/2010 10:37:24,,Львов,4,QA/Testing,1050,1300,3,больше 200 человек
10/12/2010 10:37:27,,Львов,3,Embedded,1400,600,1,10 - 50 человек
10/12/2010 10:37:43,,Киев,8,Mobile,2200,500,2.3,50 - 200 человек
10/12/2010 10:37:54,,Львов,12,PHP,,500 $,1.5,больше 200 человек
10/12/2010 10:37:56,,другой,2.7,Java,1500,800,0.5,50 - 200 человек
10/12/2010 10:38:07,,Харьков,5,C#/.NET,1200,1500,2,10 - 50 человек
10/12/2010 10:38:30,,другой,2 года,Python,1000,500,1 месяц,10 - 50 человек
10/12/2010 10:38:43,,Киев,4,Java,1400,600,0.5,больше 200 человек
10/12/2010 10:38:49,,другой,4,Ruby/Rails,1650,500,2,10 - 50 человек
10/12/2010 10:38:52,,Киев,6,C++,1500,500,0,50 - 200 человек
10/12/2010 10:38:53,,Львов,6,PHP,2600,400,3,50 - 200 человек
10/12/2010 10:39:13,,Киев,1.5,PHP,,600USD,0.5,больше 200 человек
10/12/2010 10:39:29,,Киев,3,C#/.NET,1300,300,2,больше 200 человек
10/12/2010 10:39:58,,другой,7 лет,C++,1800,700,4 года,50 - 200 человек
10/12/2010 10:40:16,,Киев,5,C#/.NET,1000,500,2,меньше 10 человек
10/12/2010 10:40:36,,Киев,9,PHP,875,375,1,меньше 10 человек
10/12/2010 10:40:49,,Киев,18,Project manager,2000,2000,12,меньше 10 человек
10/12/2010 10:41:55,,Харьков,3,Python,2000,1000,1,10 - 50 человек
10/12/2010 10:42:44,,Киев,11,C#/.NET,3400,1600,7,50 - 200 человек
10/12/2010 10:44:26,,Киев,7,QA/Testing,2100,500,4,больше 200 человек
10/12/2010 10:45:31,,другой,3,PHP,550,400,9 месяцев,50 - 200 человек
10/12/2010 10:45:58,,другой,3,QA/Testing,1250,1250,3,10 - 50 человек
10/12/2010 10:45:59,,другой,5,Python,1650,500,2,10 - 50 человек
10/12/2010 10:46:28,,другой,3,C++,600,400,1,больше 200 человек
10/12/2010 10:46:29,,Киев,11,Oracle,100000,1000000,1,больше 200 человек
10/12/2010 10:46:48,,Киев,2,PHP,1000,500,0.5,меньше 10 человек
10/12/2010 10:47:08,,другой,5,Java,1500 $,1000 $,<1,меньше 10 человек
10/12/2010 10:49:52,,Харьков,5,C++,1000,1000,4,50 - 200 человек
10/12/2010 10:50:20,,Харьков,12,Java,3000,400,2,меньше 10 человек
10/12/2010 10:51:59,,Львов,4,C++,2000,500,1,10 - 50 человек
10/12/2010 10:52:17,,другой,6,HTML/CSS/JavaScript,500,200,0.5,меньше 10 человек
10/12/2010 10:52:35,,Харьков,6,PHP,1500,500,3,меньше 10 человек
10/12/2010 10:52:51,,Киев,1 Год,PHP,750,400 $,4 месяца,50 - 200 человек
10/12/2010 10:52:52,,другой,3,C#/.NET,,200,1,меньше 10 человек
10/12/2010 10:53:00,,другой,7,Java,,+20%,2,больше 200 человек
10/12/2010 10:53:12,,Киев,7,PHP,1800,500,1/2/2010,меньше 10 человек
10/12/2010 10:53:12,,Киев,5 лет,C#/.NET,2500,500,1.6 года,50 - 200 человек
10/12/2010 10:53:59,,Харьков,5,C#/.NET,2000,800,2,больше 200 человек
10/12/2010 10:54:18,,Киев,8,Project manager,2400,600,"0,5",10 - 50 человек
10/12/2010 10:54:26,,Киев,4,Java,2000,500,1,больше 200 человек
10/12/2010 10:54:34,,Киев,7,PHP,1350,500,5,10 - 50 человек
10/12/2010 10:55:42,,Киев,8,Oracle,2000,500,0.5,меньше 10 человек
10/12/2010 10:55:49,,Киев,10,PHP,2000,700,2.5,больше 200 человек
10/12/2010 10:56:11,,Киев,4 года,Objective-C,2500,300,полгода,50 - 200 человек
10/12/2010 10:56:27,,Киев,4 года,Objective-C,2300,400,3 месяца,больше 200 человек
10/12/2010 10:56:28,,Львов,2,Project manager,1500,1500,1,меньше 10 человек
10/12/2010 10:56:55,,Харьков,4 years,Objective-C,1400,500,6 month,50 - 200 человек
10/12/2010 10:56:56,,другой,8,C#/.NET,1500,500,2,10 - 50 человек
10/12/2010 10:56:59,,Львов,8+,Project manager,3000,500,"3,5",больше 200 человек
10/12/2010 10:57:02,,Киев,7,C#/.NET,2700,800,4 month,больше 200 человек
10/12/2010 10:57:25,,Львов,3,C#/.NET,1100,500,1.5,меньше 10 человек
10/12/2010 10:58:14,,другой,5,C#/.NET,2000,0,2,больше 200 человек
10/12/2010 10:58:15,,Киев,2,Objective-C,2000,1000,0.5,50 - 200 человек
10/12/2010 10:58:43,,Киев,4,PHP,1800,2200,9 месяцев,больше 200 человек
10/12/2010 10:58:44,,Львов,5,Embedded,,500,2,больше 200 человек
10/12/2010 10:59:00,,другой,5 years,Flex/Flash/AIR,3600 USD,1000 USD,3 years,10 - 50 человек
10/12/2010 10:59:26,,Киев,6,QA/Testing,2500,300,1,больше 200 человек
10/12/2010 10:59:56,,Киев,5,Java,3000,20,1,больше 200 человек
10/12/2010 10:59:57,,Харьков,2,Project manager,750,250,2 года,10 - 50 человек
10/12/2010 11:00:07,,Киев,7,Embedded,1300,+300%,3,10 - 50 человек
10/12/2010 11:00:40,,Киев,10,C#/.NET,2550,100,5,50 - 200 человек
10/12/2010 11:00:51,,другой,2 года,PHP,650,200-300,1 год,50 - 200 человек
10/12/2010 11:01:31,,Киев,12,Python,4700,+50%,5,50 - 200 человек
10/12/2010 11:01:37,,Киев,4,Objective-C,2000,500,5 месяцев,50 - 200 человек
10/12/2010 11:01:45,,другой,3,PHP,800,400,1,10 - 50 человек
10/12/2010 11:01:57,,другой,5,Mobile,1900,400,1year,больше 200 человек
10/12/2010 11:02:12,,другой,11,HTML/CSS/JavaScript,700,800,8,меньше 10 человек
10/12/2010 11:02:21,,Львов,6,C#/.NET,1400,600,3,больше 200 человек
10/12/2010 11:02:26,,Харьков,4,C#/.NET,2500,500,7 месяцев,10 - 50 человек
10/12/2010 11:03:00,,другой,10,C#/.NET,550,800,8,меньше 10 человек
10/12/2010 11:03:56,,другой,2,C#/.NET,600,500,2,больше 200 человек
10/12/2010 11:05:34,,Киев,12,C#/.NET,€ 2400,1000,1,10 - 50 человек
10/12/2010 11:05:57,,Харьков,3,QA/Testing,1200,800-1000,3,больше 200 человек
10/12/2010 11:06:45,,Львов,10,PHP,1800,+$1000,2,меньше 10 человек
10/12/2010 11:07:13,,Киев,4 года,QA/Testing,1800,500,4 года,50 - 200 человек
10/12/2010 11:07:16,,Киев,2,Java,1200,800,1,10 - 50 человек
10/12/2010 11:07:27,,Киев,8 лет,Java,,20%,6 мес,больше 200 человек
10/12/2010 11:08:09,,Харьков,4 года,PHP,1000,500,2 года,10 - 50 человек
10/12/2010 11:08:10,,Киев,3,QA/Testing,500,100,1,больше 200 человек
10/12/2010 11:08:26,,Львов,10,C++,3900,1000,5,больше 200 человек
10/12/2010 11:09:37,,Харьков,3 года,C#/.NET,1200,800,3 месяца,10 - 50 человек
10/12/2010 11:10:00,,Харьков,3.5,Java,1450,500,2.5,50 - 200 человек
10/12/2010 11:10:13,,другой,4,C#/.NET,2500,1000,3,10 - 50 человек
10/12/2010 11:11:05,,Киев,6,Oracle,1200,500,4,больше 200 человек
10/12/2010 11:11:20,,Киев,4,QA/Testing,1800,500,год,50 - 200 человек
10/12/2010 11:11:42,,Харьков,4,C#/.NET,1500,500,30 месяцев,больше 200 человек
10/12/2010 11:11:57,,Киев,4 month,Java,400,300,4 month,10 - 50 человек
10/12/2010 11:12:44,,Харьков,3 года,Ruby/Rails,450,400,1 год,больше 200 человек
10/12/2010 11:12:50,,Киев,4,C#/.NET,2300,500,2,больше 200 человек
10/12/2010 11:13:10,,другой,4,Ruby/Rails,2200,1000,3,50 - 200 человек
10/12/2010 11:13:46,,Киев,5,PHP,500,500,1.3,10 - 50 человек
10/12/2010 11:15:13,,Киев,8,Java,4300,1000,4,50 - 200 человек
10/12/2010 11:16:41,,Львов,4,C#/.NET,800,400,4,10 - 50 человек
10/12/2010 11:16:58,,Киев,2.5,C#/.NET,1500,2000,2,10 - 50 человек
10/12/2010 11:17:08,,Харьков,10,C#/.NET,1900,700,0.5,больше 200 человек
10/12/2010 11:17:15,,другой,4,PHP,1100,400,6 месяцев,меньше 10 человек
10/12/2010 11:17:34,,Киев,7,C#/.NET,3000,1000,"2,5 года",больше 200 человек
10/12/2010 11:17:38,,Харьков,8,Project manager,2900,1000,6,больше 200 человек
10/12/2010 11:17:43,,Киев,5 лет,PHP,750 €,150 €,5 мес,10 - 50 человек
10/12/2010 11:17:59,,Киев,4.5 года,Python,1500,1000,2 года,10 - 50 человек
10/12/2010 11:17:59,,Киев,5+,C++,1500,1000,"0,5",50 - 200 человек
10/12/2010 11:19:25,,Киев,5,PHP,1700уе,700уе,1 год,10 - 50 человек
10/12/2010 11:19:26,,Харьков,8,Objective-C,2500,500,1,50 - 200 человек
10/12/2010 11:19:41,,другой,10,C#/.NET,1950,1000,15 месяцев,меньше 10 человек
10/12/2010 11:19:59,,другой,4,Flex/Flash/AIR,710,300,4,больше 200 человек
10/12/2010 11:20:45,,другой,9,Project manager,3000,4000,2 мес.,больше 200 человек
10/12/2010 11:21:02,,Киев,7,Java,3400,interest project,1st month,больше 200 человек
10/12/2010 11:21:09,,Киев,3,C#/.NET,2100,600,3,50 - 200 человек
10/12/2010 11:21:27,,Киев,3,C#/.NET,1600,3000,2,больше 200 человек
10/12/2010 11:22:15,,Харьков,5,QA/Testing,750,100%,"1,5 года",больше 200 человек
10/12/2010 11:22:36,,Львов,4,QA/Testing,1800,700,2,меньше 10 человек
10/12/2010 11:22:54,,Львов,7,C#/.NET,2000,400,2.5,меньше 10 человек
10/12/2010 11:25:01,,другой,5,C#/.NET,1900,500,4,больше 200 человек
10/12/2010 11:25:04,,Киев,15,C++,1000,1000,10,10 - 50 человек
10/12/2010 11:25:04,,Львов,3 года,C#/.NET,1500,500,3 месяца,50 - 200 человек
10/12/2010 11:26:19,,другой,4,PHP,1100,600,3,меньше 10 человек
10/12/2010 11:27:03,,Киев,3,Mobile,1700,-,1,50 - 200 человек
10/12/2010 11:27:47,,Львов,3,C#/.NET,1000,900,6 мес.,50 - 200 человек
10/12/2010 11:27:57,,Львов,1,Java,600,400,1,50 - 200 человек
10/12/2010 11:28:37,,Львов,"2,5 года",QA/Testing,1000,1500,1 год,больше 200 человек
10/12/2010 11:29:03,,Киев,3,PHP,2000,500,10 месяцев,меньше 10 человек
10/12/2010 11:29:27,,другой,6,PHP,2300,700,3,меньше 10 человек
10/12/2010 11:29:29,,Львов,7,C++,2300,1000,4 года,больше 200 человек
10/12/2010 11:30:03,,Киев,3,Java,1500,2000,3,10 - 50 человек
10/12/2010 11:30:47,,Харьков,2ujlf,HTML/CSS/JavaScript,800,200,2 месяца,меньше 10 человек
10/12/2010 11:31:24,,Киев,7,Flex/Flash/AIR,1800,200,6 місяців,10 - 50 человек
10/12/2010 11:31:47,,другой,5,C++,1500,500,3,50 - 200 человек
10/12/2010 11:33:32,,Харьков,5,Flex/Flash/AIR,4000,2000-3000к,3,меньше 10 человек
10/12/2010 11:33:54,,другой,3,Java,1800,600,1.5,больше 200 человек
10/12/2010 11:34:33,,другой,3.5 л,QA/Testing,$3200,30%,1 м,меньше 10 человек
10/12/2010 11:36:26,,Киев,5,Java,2500,500,2,10 - 50 человек
10/12/2010 11:36:31,,Харьков,5,C#/.NET,1800,300,5,больше 200 человек
10/12/2010 11:36:31,,Львов,7,C#/.NET,1800,500,20,10 - 50 человек
10/12/2010 11:37:02,,Киев,5,C++,2000,500,"2,5",больше 200 человек
10/12/2010 11:37:04,,другой,5,C++,440,100,5,10 - 50 человек
10/12/2010 11:37:08,,Харьков,2,HTML/CSS/JavaScript,1150 $,+ - 200,2,больше 200 человек
10/12/2010 11:38:14,,Киев,4.5,C#/.NET,1800,600,11 месяцев,50 - 200 человек
10/12/2010 11:40:01,,другой,7,C#/.NET,2600,700,2,больше 200 человек
10/12/2010 11:40:34,,Киев,10,Java,4000,2000,1,10 - 50 человек
10/12/2010 11:41:19,,Львов,10,C++,500 грн.,10000,2,10 - 50 человек
10/12/2010 11:42:04,,Киев,8,Python,2500,1000,2,50 - 200 человек
10/12/2010 11:43:00,,другой,3,PHP,800,100500,1,меньше 10 человек
10/12/2010 11:43:10,,Киев,3,PHP,1000,500,1,меньше 10 человек
10/12/2010 11:44:33,,Киев,6 мес.,C++,800,800,6 мес.,50 - 200 человек
10/12/2010 11:46:22,,Львов,10,C++,2500,400,6,50 - 200 человек
10/12/2010 11:46:28,,другой,4,Java,1700,500,3,50 - 200 человек
10/12/2010 11:48:34,,Киев,4,Flex/Flash/AIR,2100,500,1,10 - 50 человек
10/12/2010 11:51:39,,Киев,5,C#/.NET,2500,500,"2,5",10 - 50 человек
10/12/2010 11:51:44,,Киев,3,C#/.NET,600,300,"2,5",50 - 200 человек
10/12/2010 11:53:31,,другой,10,Python,1500,0,1,меньше 10 человек
10/12/2010 11:54:59,,Львов,2.5 роки,Embedded,1000,500,6 місяців,10 - 50 человек
10/12/2010 11:55:11,,Киев,5 лет,QA/Testing,1900,500,5 лет,50 - 200 человек
10/12/2010 11:56:10,,Харьков,6 лет,Project manager,2000,500,1 год,больше 200 человек
10/12/2010 11:56:52,,Киев,1 год,C#/.NET,700,700,1 год,10 - 50 человек
10/12/2010 11:56:57,,Харьков,"3,5",HTML/CSS/JavaScript,1100,500,2,50 - 200 человек
10/12/2010 11:57:19,,Киев,1.5,Java,1000,1000,0.7,50 - 200 человек
10/12/2010 11:57:32,,Киев,2.5,C#/.NET,1150,300,6 months,10 - 50 человек
10/12/2010 11:59:08,,Киев,8,C++,2100,500,3.5,50 - 200 человек
10/12/2010 11:59:12,,Киев,8,C#/.NET,3000,1000,1,10 - 50 человек
10/12/2010 11:59:56,,Львов,3-4года,QA/Testing,1600,500,6месяцев,меньше 10 человек
10/12/2010 12:00:32,,другой,3,QA/Testing,1000,400,3,больше 200 человек
10/12/2010 12:02:03,,Харьков,7 лет,Java,2500,500-700,1 год 3 месяца,10 - 50 человек
10/12/2010 12:02:15,,другой,2,PHP,600,300,1,меньше 10 человек
10/12/2010 12:02:41,,Киев,1,PHP,800,400,2,50 - 200 человек
10/12/2010 12:04:04,,Киев,2,Objective-C,,$1000,2,10 - 50 человек
10/12/2010 12:04:07,,другой,2.5 года,C#/.NET,1000,400,0.5 года,10 - 50 человек
10/12/2010 12:04:40,,Киев,5,Embedded,,600,3,50 - 200 человек
10/12/2010 12:04:46,,Киев,10,Java,1200,1000,4,меньше 10 человек
10/12/2010 12:05:55,,Киев,8,Ruby/Rails,2500,2500,1.2,50 - 200 человек
10/12/2010 12:06:29,,Харьков,3 года,Oracle,1000 USD,500,"1,5 года",меньше 10 человек
10/12/2010 12:07:56,,Киев,4,C#/.NET,1000,700,"3,5",10 - 50 человек
10/12/2010 12:08:46,,Киев,4,QA/Testing,1500,500,12,10 - 50 человек
10/12/2010 12:10:08,,Харьков,4,Project manager,1000,700,4,50 - 200 человек
10/12/2010 12:11:15,,Львов,3,HTML/CSS/JavaScript,1500,700,6,меньше 10 человек
10/12/2010 12:11:36,,Киев,5,QA/Testing,1700 USD,1000,4+,больше 200 человек
10/12/2010 12:11:48,,другой,12,Java,1300,500,7,больше 200 человек
10/12/2010 12:12:47,,Харьков,10,Embedded,,500,1,10 - 50 человек
10/12/2010 12:15:39,,Киев,10,Java,4000,0,2 месяца,10 - 50 человек
10/12/2010 12:16:52,,Киев,6,QA/Testing,,500-700$,1,10 - 50 человек
10/12/2010 12:17:15,,Киев,2 года,HTML/CSS/JavaScript,800,300,3 дня,50 - 200 человек
10/12/2010 12:17:48,,Харьков,2,Ruby/Rails,600,500,2,больше 200 человек
10/12/2010 12:18:37,,другой,8,HTML/CSS/JavaScript,3200,4000,4,10 - 50 человек
10/12/2010 12:19:25,,Киев,5,Java,1500,500,2,10 - 50 человек
10/12/2010 12:20:15,,Киев,6.5,Project manager,2100,400,2.5,больше 200 человек
10/12/2010 12:20:46,,Харьков,4,Embedded,1400,600,2,50 - 200 человек
10/12/2010 12:20:51,,Харьков,30,C#/.NET,350,150,5,10 - 50 человек
10/12/2010 12:20:58,,Львов,7,PHP,3100,3500,1,больше 200 человек
10/12/2010 12:21:00,,Львов,7,Project manager,3500,1500,1 год,10 - 50 человек
10/12/2010 12:21:04,,Киев,6,HTML/CSS/JavaScript,2000,500,3 года,больше 200 человек
10/12/2010 12:21:13,,Львов,5 лет,C++,1400 USD,400 usd,6 мес,50 - 200 человек
10/12/2010 12:21:29,,Харьков,3,PHP,260,100,3,больше 200 человек
10/12/2010 12:22:57,,Киев,4,C++,1550,800,10,меньше 10 человек
10/12/2010 12:24:12,,другой,8,Java,1700,0,22 месяца,больше 200 человек
10/12/2010 12:24:40,,другой,5,Java,1000,500,1 месяц,больше 200 человек
10/12/2010 12:24:51,,другой,5,Project manager,1300,5000,5,меньше 10 человек
10/12/2010 12:25:59,,Киев,4.5,C++,2500,500,2,50 - 200 человек
10/12/2010 12:26:07,,Киев,1,Java,700,400,1,50 - 200 человек
10/12/2010 12:26:44,,Киев,5,Mobile,2700,2000,1 месяц,50 - 200 человек
10/12/2010 12:26:56,,Харьков,4 года,C#/.NET,1900,500,3 месяца,50 - 200 человек
10/12/2010 12:28:58,,другой,0,C#/.NET,2000,2000,0,50 - 200 человек
10/12/2010 12:29:19,,другой,6 лет,PHP,600,200 USD,1 год,меньше 10 человек
10/12/2010 12:30:40,,Харьков,4,C#/.NET,1050,1600,2.5,50 - 200 человек
10/12/2010 12:30:44,,другой,3,C#/.NET,1200,800,0.5,10 - 50 человек
10/12/2010 12:32:50,,Киев,5,C#/.NET,1800,1200,1,больше 200 человек
10/12/2010 12:33:00,,другой,12,Java,2500,500,6,10 - 50 человек
10/12/2010 12:33:09,,Киев,5,PHP,1500,300,9 месяцев,10 - 50 человек
10/12/2010 12:33:13,,другой,5,C#/.NET,37000,50000,5,больше 200 человек
10/12/2010 12:33:52,,другой,3,Project manager,1500,500,2,меньше 10 человек
10/12/2010 12:36:03,,Киев,3,C#/.NET,1650,250,30,больше 200 человек
10/12/2010 12:36:23,,Киев,5,Mobile,2000,500,1 год и 3 месяца,10 - 50 человек
10/12/2010 12:36:41,,другой,5,HTML/CSS/JavaScript,1000,200,5,10 - 50 человек
10/12/2010 12:36:49,,Киев,10,PHP,1500,1000,1.5 года,10 - 50 человек
10/12/2010 12:37:28,,Киев,10,QA/Testing,3300,1000,5,50 - 200 человек
10/12/2010 12:37:39,,другой,17,Java,2000,2000,14,10 - 50 человек
10/12/2010 12:37:42,,другой,4,PHP,1000,200,3,меньше 10 человек
10/12/2010 12:37:59,,Киев,6,Java,2800 USD,700 USD,9 мес.,больше 200 человек
10/12/2010 12:39:42,,Киев,7,C++,2200,600,4,больше 200 человек
10/12/2010 12:40:17,,другой,11,C#/.NET,7000,7000,6,меньше 10 человек
10/12/2010 12:40:33,,Харьков,6,C#/.NET,2200,500,2,10 - 50 человек
10/12/2010 12:41:58,,Харьков,6,Java,2650,850,8 мес,больше 200 человек
10/12/2010 12:42:38,,Харьков,17,C#/.NET,1200,1000,3,50 - 200 человек
10/12/2010 12:43:29,,Львов,7,Java,2100,500,18,50 - 200 человек
10/12/2010 12:43:43,,Харьков,4,Gamedev,2K€,1K€,4,10 - 50 человек
10/12/2010 12:43:45,,другой,2,Java,450,350,2,10 - 50 человек
10/12/2010 12:46:05,,Киев,2 года,Flex/Flash/AIR,1100,800,5 месяцев,больше 200 человек
10/12/2010 12:47:29,,Львов,5,C#/.NET,1200,500,4,10 - 50 человек
10/12/2010 12:47:41,,Киев,5,Java,2000,1000,8,больше 200 человек
10/12/2010 12:47:57,,Киев,5,PHP,1400,400,1 месяц,50 - 200 человек
10/12/2010 12:48:10,,Киев,4 года,Flex/Flash/AIR,1800,500,"1,5 года",больше 200 человек
10/12/2010 12:48:59,,Киев,4,C++,1100,400,2 месяца,50 - 200 человек
10/12/2010 12:49:02,,другой,2 года,Oracle,2600 грн,4000 грн,2 года,больше 200 человек
10/12/2010 12:50:48,,Львов,3 роки,Flex/Flash/AIR,1800,0,3 місяці,50 - 200 человек
10/12/2010 12:51:13,,Харьков,10,Java,3500,1500,5 месяцев,50 - 200 человек
10/12/2010 12:52:10,,Харьков,4 мес,Mobile,300,200,4 мес,50 - 200 человек
10/12/2010 12:53:59,,Киев,4,PHP,650,650,1,меньше 10 человек
10/12/2010 12:54:32,,Харьков,3,Mobile,700,350,1,10 - 50 человек
10/12/2010 12:54:50,,Киев,2 года,C#/.NET,600,400,14 месяцев,больше 200 человек
10/12/2010 12:55:59,,другой,5,PHP,18001,1000,3,10 - 50 человек
10/12/2010 12:56:30,,другой,5,PHP,1800,1000,3,10 - 50 человек
10/12/2010 12:56:45,,другой,6,C#/.NET,190,200,3,10 - 50 человек
10/12/2010 12:57:31,,другой,6,PHP,1200,800,4,10 - 50 человек
10/12/2010 12:58:05,,Киев,3 года,C++,1000,500,1 месяц,50 - 200 человек
10/12/2010 12:58:53,,Киев,2,Java,900,300,8 мес,больше 200 человек
10/12/2010 12:59:54,,Киев,5,Java,2500,500,1,больше 200 человек
10/12/2010 12:59:58,,Киев,8,Oracle,2000,2000,3,больше 200 человек
10/12/2010 13:00:31,,Киев,3 года,C#/.NET,2000,Деньгами,1 месяц,50 - 200 человек
10/12/2010 13:00:40,,Киев,5,Embedded,2750,500,1 месяц,50 - 200 человек
10/12/2010 13:02:09,,Киев,2,HTML/CSS/JavaScript,1400,500,6 мес,10 - 50 человек
10/12/2010 13:02:13,,Львов,1.5,Java,500,300,1,больше 200 человек
10/12/2010 13:02:58,,Киев,9,Oracle,2500,700,10 мес.,больше 200 человек
10/12/2010 13:04:15,,другой,3,HTML/CSS/JavaScript,,100%,1,меньше 10 человек
10/12/2010 13:04:40,,Харьков,9,Python,1000,1000,"2,5",меньше 10 человек
10/12/2010 13:05:15,,Киев,4,Java,1900,500,1,больше 200 человек
10/12/2010 13:05:21,,другой,3,Java,1000,1000,3,больше 200 человек
10/12/2010 13:05:26,,Киев,7,C#/.NET,2100,900,5,больше 200 человек
10/12/2010 13:05:58,,Киев,7,Python,2500,700,24,10 - 50 человек
10/12/2010 13:06:33,,Киев,4,C#/.NET,1800,0,0,больше 200 человек
10/12/2010 13:07:06,,Харьков,10,Java,4400,2000,4,10 - 50 человек
10/12/2010 13:07:48,,другой,3,Python,,+100%,1,меньше 10 человек
10/12/2010 13:07:54,,Киев,4,QA/Testing,1700,500,4,больше 200 человек
10/12/2010 13:08:22,,другой,5,PHP,5000,3000,5 месяцев,50 - 200 человек
10/12/2010 13:09:10,,Львов,2,Java,1500,400,2,больше 200 человек
10/12/2010 13:09:29,,Львов,5 лет,Java,1500,400,5 лет,больше 200 человек
10/12/2010 13:10:19,,Киев,10 лет,Mobile,2500,500,6 мес,10 - 50 человек
10/12/2010 13:10:35,,Киев,3,QA/Testing,5500 гр,1000 гр,18 месяцев,10 - 50 человек
10/12/2010 13:10:35,,Киев,8,PHP,1700,0,0.5,50 - 200 человек
10/12/2010 13:10:43,,Киев,5,C++,,1500,3,10 - 50 человек
10/12/2010 13:10:56,,Киев,3,C++,870,300,2 года,больше 200 человек
10/12/2010 13:11:20,,Львов,10,C#/.NET,1100 eur,350,1.5 года,меньше 10 человек
10/12/2010 13:11:27,,Киев,"2,5 года",Python,1500,600,8 месяцев,больше 200 человек
10/12/2010 13:11:49,,Харьков,4,QA/Testing,1450,450,2.5,больше 200 человек
10/12/2010 13:12:52,,Харьков,6,C++,1600,200,6 vtczwd,больше 200 человек
10/12/2010 13:13:09,,Киев,6,Oracle,14000,5000,18 месяцев,меньше 10 человек
10/12/2010 13:13:13,,Харьков,3 года,C#/.NET,1800,700,"0,5 года",10 - 50 человек
10/12/2010 13:13:21,,Киев,6 років,PHP,2500,+1000,2 роки,меньше 10 человек
10/12/2010 13:13:30,,Киев,5,C#/.NET,1400,400,3,меньше 10 человек
10/12/2010 13:13:34,,другой,5,Gamedev,1600,500,5,меньше 10 человек
10/12/2010 13:13:49,,Киев,15 лет,Java,3300,330,11 лет,10 - 50 человек
